,res,ind,com,rest
2178000,3188,1092,311,15
2181600,2902,1092,587,25
2185200,2419,1092,1046,49
2188800,1959,1092,1490,65
2192400,1568,1092,1867,79
2196000,1416,1092,2013,85
2199600,1366,1092,2063,85
2203200,1362,1092,2067,85
2206800,1350,1092,2079,85
2210400,1396,1092,2034,84
2214000,1482,1092,1951,81
2217600,1644,1092,1799,71
2221200,1986,1092,1470,58
2224800,2449,1092,1023,42
2228400,2875,1092,617,22
2232000,3187,1092,320,7
2235600,3514,1092,0,0
2239200,3514,1092,0,0
2242800,3514,1092,0,0
2246400,3514,1092,0,0
2250000,3514,1092,0,0
2253600,3514,1092,0,0
2257200,3514,1092,0,0
2260800,3514,1092,0,0
2264400,3188,1092,314,12
2268000,2902,1092,585,27
2271600,2419,1092,1048,47
2275200,1959,1092,1495,60
2278800,1568,1092,1872,74
2282400,1416,1092,2018,80
2286000,1366,1092,2066,82
2289600,1362,1092,2070,82
2293200,1350,1092,2080,84
2296800,1396,1092,2034,84
2300400,1482,1092,1951,81
2304000,1644,1092,1801,69
2307600,1986,1092,1471,57
2311200,2449,1092,1023,42
2314800,2875,1092,613,26
2318400,3187,1092,317,10
2322000,3514,1092,0,0
2325600,3514,1092,0,0
2329200,3514,1092,0,0
2332800,3514,1092,0,0
2336400,3514,1092,0,0
2340000,3514,1092,0,0
2343600,3514,1092,0,0
2347200,3514,1092,0,0
2350800,3188,1092,316,10
2354400,2902,1092,596,16
2358000,2419,1092,1064,31
2361600,1959,1092,1503,52
2365200,1568,1092,1874,72
2368800,1416,1092,2019,79
2372400,1366,1092,2066,82
2376000,1362,1092,2070,82
2379600,1350,1092,2082,82
2383200,1396,1092,2037,81
2386800,1482,1092,1952,80
2390400,1644,1092,1797,73
2394000,1986,1092,1472,56
2397600,2449,1092,1022,43
2401200,2875,1092,608,31
2404800,3187,1092,310,17
2408400,3514,1092,0,0
2412000,3514,1092,0,0
2415600,3514,1092,0,0
2419200,3514,1092,0,0
2422800,3514,1092,0,0
2426400,3514,1092,0,0
2430000,3514,1092,0,0
2433600,3514,1092,0,0
2437200,3188,1092,319,7
2440800,2902,1092,600,12
2444400,2419,1092,1065,30
2448000,1959,1092,1508,47
2451600,1568,1092,1875,71
2455200,1416,1092,2020,78
2458800,1366,1092,2067,81
2462400,1362,1092,2071,81
2466000,1350,1092,2083,81
2469600,1396,1092,2041,77
2473200,1482,1092,1958,74
2476800,1644,1092,1798,72
2480400,1986,1092,1470,58
2484000,2449,1092,1019,46
2487600,2875,1092,616,23
2491200,3187,1092,311,16
2494800,3514,1092,0,0
2498400,3514,1092,0,0
2502000,3514,1092,0,0
2505600,3514,1092,0,0
2509200,3514,1092,0,0
2512800,3514,1092,0,0
2516400,3514,1092,0,0
2520000,3514,1092,0,0
2523600,3188,1092,313,13
2527200,2902,1092,591,21
2530800,2419,1092,1052,43
2534400,1959,1092,1497,58
2538000,1568,1092,1876,70
2541600,1416,1092,2019,79
2545200,1366,1092,2066,82
2548800,1362,1092,2070,82
2552400,1350,1092,2081,83
2556000,1396,1092,2036,82
2559600,1482,1092,1953,79
2563200,1644,1092,1799,71
2566800,1986,1092,1467,61
2570400,2449,1092,1028,37
2574000,2875,1092,618,21
2577600,3187,1092,312,15
2581200,3514,1092,0,0
2584800,3514,1092,0,0
2588400,3514,1092,0,0
2592000,3514,1092,0,0
2595600,3514,1092,0,0
2599200,3514,1092,0,0
2602800,3514,1092,0,0
2606400,3514,1092,0,0
2610000,3188,1092,314,12
2613600,2902,1092,586,26
2617200,2419,1092,1057,38
2620800,1959,1092,1501,54
2624400,1568,1092,1872,74
2628000,1416,1092,2023,75
2631600,1366,1092,2067,81
2635200,1362,1092,2071,81
2638800,1350,1092,2082,82
2642400,1396,1092,2039,79
2646000,1482,1092,1958,74
2649600,1644,1092,1801,69
2653200,1986,1092,1469,59
2656800,2449,1092,1020,45
2660400,2875,1092,612,27
2664000,3187,1092,314,13
2667600,3514,1092,0,0
2671200,3514,1092,0,0
2674800,3514,1092,0,0
2678400,3514,1092,0,0
2682000,3514,1092,0,0
2685600,3514,1092,0,0
2689200,3514,1092,0,0
2692800,3514,1092,0,0
2696400,3188,1092,312,14
2700000,2902,1092,583,29
2703600,2419,1092,1049,46
2707200,1959,1092,1491,64
2710800,1568,1092,1873,73
2714400,1416,1092,2018,80
2718000,1366,1092,2067,81
2721600,1362,1092,2070,82
2725200,1350,1092,2082,82
2728800,1396,1092,2042,76
2732400,1482,1092,1958,74
2736000,1644,1092,1810,60
2739600,1986,1092,1477,51
2743200,2449,1092,1035,30
2746800,2875,1092,623,16
2750400,3187,1092,318,9
2754000,3514,1092,0,0
2757600,3514,1092,0,0
2761200,3514,1092,0,0
2764800,3514,1092,0,0
2768400,3514,1092,0,0
2772000,3514,1092,0,0
2775600,3514,1092,0,0
2779200,3514,1092,0,0
2782800,3188,1092,317,9
2786400,2902,1092,593,19
2790000,2419,1092,1057,38
2793600,1959,1092,1497,58
2797200,1568,1092,1874,72
2800800,1416,1092,2020,78
2804400,1366,1092,2070,78
2808000,1362,1092,2074,78
2811600,1350,1092,2085,79
2815200,1396,1092,2040,78
2818800,1482,1092,1957,75
2822400,1644,1092,1797,73
2826000,1986,1092,1468,60
2829600,2449,1092,1024,41
2833200,2875,1092,618,21
2836800,3187,1092,320,7
2840400,3514,1092,0,0
2844000,3514,1092,0,0
2847600,3514,1092,0,0
2851200,3514,1092,0,0
2854800,3514,1092,0,0
2858400,3514,1092,0,0
2862000,3514,1092,0,0
2865600,3514,1092,0,0
2869200,3188,1092,316,10
2872800,2902,1092,593,19
2876400,2419,1092,1056,39
2880000,1959,1092,1498,57
2883600,1568,1092,1877,69
2887200,1416,1092,2016,82
2890800,1366,1092,2065,83
2894400,1362,1092,2069,83
2898000,1350,1092,2080,84
2901600,1396,1092,2036,82
2905200,1482,1092,1955,77
2908800,1644,1092,1801,69
2912400,1986,1092,1473,55
2916000,2449,1092,1029,36
2919600,2875,1092,616,23
2923200,3187,1092,313,14
2926800,3514,1092,0,0
2930400,3514,1092,0,0
2934000,3514,1092,0,0
2937600,3514,1092,0,0
2941200,3514,1092,0,0
2944800,3514,1092,0,0
2948400,3514,1092,0,0
2952000,3514,1092,0,0
2955600,3188,1092,312,14
2959200,2902,1092,592,20
2962800,2419,1092,1051,44
2966400,1959,1092,1498,57
2970000,1568,1092,1870,76
2973600,1416,1092,2019,79
2977200,1366,1092,2065,83
2980800,1362,1092,2069,83
2984400,1350,1092,2081,83
2988000,1396,1092,2037,81
2991600,1482,1092,1956,76
2995200,1644,1092,1799,71
2998800,1986,1092,1469,59
3002400,2449,1092,1027,38
3006000,2875,1092,616,23
3009600,3187,1092,317,10
3013200,3514,1092,0,0
3016800,3514,1092,0,0
3020400,3514,1092,0,0
3024000,3514,1092,0,0
3027600,3514,1092,0,0
3031200,3514,1092,0,0
3034800,3514,1092,0,0
3038400,3514,1092,0,0
3042000,3188,1092,314,12
3045600,2902,1092,591,21
3049200,2419,1092,1051,44
3052800,1959,1092,1490,65
3056400,1568,1092,1866,80
3060000,1416,1092,2015,83
3063600,1366,1092,2065,83
3067200,1362,1092,2068,84
3070800,1350,1092,2080,84
3074400,1396,1092,2037,81
3078000,1482,1092,1955,77
3081600,1644,1092,1797,73
3085200,1986,1092,1470,58
3088800,2449,1092,1027,38
3092400,2875,1092,616,23
3096000,3187,1092,313,14
3099600,3514,1092,0,0
3103200,3514,1092,0,0
3106800,3514,1092,0,0
3110400,3514,1092,0,0
3114000,3514,1092,0,0
3117600,3514,1092,0,0
3121200,3514,1092,0,0
3124800,3514,1092,0,0
3128400,3188,1092,302,24
3132000,2902,1092,576,36
3135600,2419,1092,1047,48
3139200,1959,1092,1495,60
3142800,1568,1092,1871,75
3146400,1416,1092,2017,81
3150000,1366,1092,2065,83
3153600,1362,1092,2069,83
3157200,1350,1092,2080,84
3160800,1396,1092,2036,82
3164400,1482,1092,1951,81
3168000,1644,1092,1798,72
3171600,1986,1092,1467,61
3175200,2449,1092,1019,46
3178800,2875,1092,609,30
3182400,3187,1092,308,19
3186000,3514,1092,0,0
3189600,3514,1092,0,0
3193200,3514,1092,0,0
3196800,3514,1092,0,0
3200400,3514,1092,0,0
3204000,3514,1092,0,0
3207600,3514,1092,0,0
3211200,3514,1092,0,0
3214800,3188,1092,317,9
3218400,2902,1092,592,20
3222000,2419,1092,1060,35
3225600,1959,1092,1500,55
3229200,1568,1092,1869,77
3232800,1416,1092,2017,81
3236400,1366,1092,2065,83
3240000,1362,1092,2069,83
3243600,1350,1092,2081,83
3247200,1396,1092,2036,82
3250800,1482,1092,1952,80
3254400,1644,1092,1794,76
3258000,1986,1092,1467,61
3261600,2449,1092,1021,44
3265200,2875,1092,611,28
3268800,3187,1092,311,16
3272400,3514,1092,0,0
3276000,3514,1092,0,0
3279600,3514,1092,0,0
3283200,3514,1092,0,0
3286800,3514,1092,0,0
3290400,3514,1092,0,0
3294000,3514,1092,0,0
3297600,3514,1092,0,0
3301200,3188,1092,312,14
3304800,2902,1092,586,26
3308400,2419,1092,1053,42
3312000,1959,1092,1497,58
3315600,1568,1092,1866,80
3319200,1416,1092,2014,84
3322800,1366,1092,2064,84
3326400,1362,1092,2068,84
3330000,1350,1092,2080,84
3333600,1396,1092,2039,79
3337200,1482,1092,1956,76
3340800,1644,1092,1798,72
3344400,1986,1092,1469,59
3348000,2449,1092,1027,38
3351600,2875,1092,618,21
3355200,3187,1092,313,14
3358800,3514,1092,0,0
3362400,3514,1092,0,0
3366000,3514,1092,0,0
3369600,3514,1092,0,0
3373200,3514,1092,0,0
3376800,3514,1092,0,0
3380400,3514,1092,0,0
3384000,3514,1092,0,0
3387600,3188,1092,321,5
3391200,2902,1092,594,18
3394800,2419,1092,1062,33
3398400,1959,1092,1502,53
3402000,1568,1092,1873,73
3405600,1416,1092,2019,79
3409200,1366,1092,2065,83
3412800,1362,1092,2068,84
3416400,1350,1092,2080,84
3420000,1396,1092,2036,82
3423600,1482,1092,1954,78
3427200,1644,1092,1797,73
3430800,1986,1092,1475,53
3434400,2449,1092,1032,33
3438000,2875,1092,621,18
3441600,3187,1092,319,8
3445200,3514,1092,0,0
3448800,3514,1092,0,0
3452400,3514,1092,0,0
3456000,3514,1092,0,0
3459600,3514,1092,0,0
3463200,3514,1092,0,0
3466800,3514,1092,0,0
3470400,3514,1092,0,0
3474000,3188,1092,316,10
3477600,2902,1092,594,18
3481200,2419,1092,1057,38
3484800,1959,1092,1498,57
3488400,1568,1092,1869,77
3492000,1416,1092,2017,81
3495600,1366,1092,2067,81
3499200,1362,1092,2070,82
3502800,1350,1092,2082,82
3506400,1396,1092,2040,78
