,res,ind,com,rest
1778400,1407,1092,2024,83
1782000,1493,1092,1942,79
1785600,1644,1092,1787,83
1789200,1966,1092,1460,88
1792800,2388,1092,1018,108
1796400,2795,1092,611,108
1800000,3114,1092,312,88
1803600,3455,1092,0,59
1807200,3485,1092,0,29
1810800,3504,1092,0,10
1814400,3514,1092,0,0
1818000,3514,1092,0,0
1821600,3514,1092,0,0
1825200,3485,1092,0,29
1828800,3475,1092,0,39
1832400,3163,1092,312,39
1836000,2875,1092,585,54
1839600,2409,1092,1046,59
1843200,1974,1092,1486,54
1846800,1605,1092,1860,49
1850400,1539,1092,1916,59
1854000,1353,1092,2053,108
1857600,1354,1092,2057,103
1861200,1358,1092,2068,88
1864800,1407,1092,2024,83
1868400,1493,1092,1942,79
1872000,1644,1092,1787,83
1875600,1966,1092,1460,88
1879200,2388,1092,1018,108
1882800,2795,1092,611,108
1886400,3114,1092,312,88
1890000,3455,1092,0,59
1893600,3485,1092,0,29
1897200,3504,1092,0,10
1900800,3514,1092,0,0
1904400,3514,1092,0,0
1908000,3514,1092,0,0
1911600,3485,1092,0,29
1915200,3475,1092,0,39
1918800,3163,1092,312,39
1922400,2875,1092,585,54
1926000,2409,1092,1046,59
1929600,1974,1092,1486,54
1933200,1605,1092,1860,49
1936800,1539,1092,1916,59
1940400,1353,1092,2053,108
1944000,1354,1092,2057,103
1947600,1358,1092,2068,88
1951200,1407,1092,2024,83
1954800,1493,1092,1942,79
1958400,1644,1092,1787,83
1962000,1966,1092,1460,88
1965600,2388,1092,1018,108
1969200,2795,1092,611,108
1972800,3114,1092,312,88
1976400,3455,1092,0,59
1980000,3485,1092,0,29
1983600,3504,1092,0,10
1987200,3514,1092,0,0
1990800,3514,1092,0,0
1994400,3514,1092,0,0
1998000,3485,1092,0,29
2001600,3475,1092,0,39
2005200,3163,1092,312,39
2008800,2875,1092,585,54
2012400,2409,1092,1046,59
2016000,1974,1092,1486,54
2019600,1605,1092,1860,49
2023200,1539,1092,1916,59
2026800,1353,1092,2053,108
2030400,1354,1092,2057,103
2034000,1358,1092,2068,88
2037600,1407,1092,2024,83
2041200,1493,1092,1942,79
2044800,1644,1092,1787,83
2048400,1966,1092,1460,88
2052000,2388,1092,1018,108
2055600,2795,1092,611,108
2059200,3114,1092,312,88
