,prosocial,Friends_2,MediaExp_3,COVIDeffect_3,DemGen,quota_age,Personal_1,Trustingroups_5,GenSocTrust,FinitePool_4,COVIDeffect_4,COVIDexp,DemEdu,DemHealthcare,Ethnicmin,FinitePool_1,FinitePool_5,Friends_7,KnowledgeCert_2,Longitude_2,Longitude_3,MediaExp_5,MediaExp_7,Personal_5,Personal_7,SARS,Trustingroups_2,Trustingroups_4,Vaccine_2,Longitude_1,Vaccine_1,Soughtinfo,COVIDeffect_2,Trustingroups_3,Friends_1,MediaExp_2
126,6,5,1,1,1,3,2,2,2,2,1,8,4,2,2,6,4,2,7,3,2,1,1,4,3,2,3,3,1,4,1,2,2,5,2,1
127,7,5,1,3,2,4,2,1,2,5,1,8,5,2,2,6,6,1,5,6,5,2,1,2,1,2,3,3,1,7,1,1,2,4,2,2
128,6,4,1,2,2,3,4,2,3,5,1,8,3,2,2,5,2,5,3,4,2,1,1,4,4,2,3,3,1,5,1,1,2,3,4,1
129,6,5,1,1,1,4,1,3,3,1,1,8,3,2,2,7,1,1,7,7,3,2,2,4,1,2,2,3,2,7,2,2,6,4,1,1
130,4,7,1,1,1,4,1,3,3,1,1,8,3,2,2,7,7,1,7,7,3,1,1,1,1,2,5,3,2,7,2,1,4,5,1,1
131,7,1,1,5,2,5,2,4,6,2,1,8,5,2,2,4,6,1,7,3,2,2,1,5,1,2,5,4,1,6,1,2,7,5,3,1
132,7,7,1,7,1,3,1,1,2,1,1,8,5,2,2,3,7,1,2,7,3,2,1,1,1,2,2,2,1,7,1,1,7,4,1,2
133,7,3,1,2,2,5,6,3,5,1,1,2,3,2,2,7,7,2,3,5,4,2,1,4,1,2,4,4,1,6,1,1,6,4,5,1
134,7,6,2,6,1,1,4,5,6,2,4,8,3,2,2,5,4,2,4,3,1,2,1,1,4,2,3,4,1,5,1,1,4,4,4,1
135,7,7,1,1,1,3,6,2,1,7,1,8,5,2,2,7,7,5,3,2,1,1,1,5,7,2,1,2,1,7,1,1,4,5,5,1
136,6,2,1,6,2,4,4,2,6,5,3,8,4,2,2,4,5,3,2,3,2,1,1,3,4,2,4,3,1,6,1,1,5,4,2,2
137,4,3,1,4,1,3,2,3,3,4,4,2,4,1,4,4,2,2,5,4,3,1,1,3,3,2,3,3,1,5,2,1,3,3,3,1
138,6,3,1,3,2,2,2,3,4,1,1,8,4,2,2,5,5,1,3,3,2,2,1,4,1,2,3,3,1,5,1,1,3,3,2,1
140,5,3,1,1,1,3,3,2,2,4,1,8,3,2,2,4,5,3,4,4,1,1,1,4,3,2,3,3,1,6,1,1,4,4,3,1
141,5,5,1,5,1,3,4,2,2,2,3,8,4,2,2,3,6,1,4,4,1,1,1,5,3,2,3,1,1,5,1,1,4,3,4,1
142,4,3,1,1,1,5,4,2,4,6,1,9,3,2,2,7,7,3,4,4,1,2,1,4,3,2,3,3,1,7,1,2,5,3,3,1
143,7,7,1,7,1,4,4,1,1,7,1,8,3,2,2,5,7,4,4,6,5,2,1,7,5,2,3,2,1,7,1,2,7,3,5,1
144,4,2,1,2,2,5,1,2,3,5,1,8,3,2,2,7,7,2,7,6,5,2,1,1,1,2,5,4,1,7,1,1,7,4,1,1
145,5,5,1,1,2,6,5,2,5,7,1,8,5,2,2,5,6,5,3,6,4,2,1,5,6,2,3,3,1,7,1,1,5,3,5,2
146,7,7,1,6,1,3,7,3,1,7,7,2,3,2,2,6,7,7,5,6,4,1,2,7,7,2,2,3,1,7,1,1,6,4,7,1
147,6,7,1,7,1,2,4,3,2,2,7,8,5,2,2,2,7,1,3,3,1,1,1,4,1,2,4,3,1,5,1,1,7,4,3,1
148,7,4,1,2,1,5,4,1,1,4,1,8,5,2,2,6,1,4,2,3,2,1,1,4,1,2,3,4,2,4,2,1,5,4,4,2
149,7,5,1,5,1,4,5,1,4,7,5,8,3,2,2,7,7,5,4,7,7,1,1,6,5,2,3,4,1,7,1,1,5,4,6,1
150,7,7,1,6,1,3,7,2,4,7,1,9,5,2,1,7,7,7,2,6,4,1,1,7,7,2,3,4,1,7,1,1,6,4,7,1
151,6,7,1,1,2,4,5,3,4,3,1,8,5,2,2,1,7,4,7,1,1,1,1,7,4,2,3,3,2,2,2,1,4,4,4,1
152,7,2,1,1,1,5,1,3,5,1,1,8,5,2,2,3,1,1,4,4,2,1,1,2,1,2,4,4,1,7,2,1,6,4,1,1
153,4,5,1,3,1,3,4,2,2,4,1,8,3,2,2,5,6,3,3,4,3,2,1,3,3,2,3,2,1,5,1,2,4,3,4,1
154,4,6,1,1,1,4,5,2,4,7,1,8,5,2,2,7,7,6,7,5,3,1,1,5,5,2,3,3,1,7,1,1,1,3,6,1
155,6,4,1,4,1,4,3,2,5,4,1,8,3,2,2,4,5,4,5,3,3,1,1,5,4,2,2,3,1,4,1,1,5,3,5,1
