,OCC_CLS,PRIM_OCC,SEC_OCC,PROP_ADDR,SQFEET,CENSUSCODE,geometry
53,Residential,Unclassified,,1866 PIGEON ROOST ROAD,1318.584,21159950300,"POLYGON ((-82.4446355602137 37.7637570832736, -82.4446772752805 37.7636742491576, -82.4448077025749 37.7637156442124, -82.4447659893047 37.7637984789922, -82.4446355602137 37.7637570832736))"
54,Residential,Single Family Dwelling,,237 LICK BRANCH,1977.871,21159950300,"POLYGON ((-82.4359022567008 37.7278818719262, -82.4360157821931 37.7279807458594, -82.4359120438458 37.728055886152, -82.4357985192517 37.7279570123192, -82.4359022567008 37.7278818719262))"
55,Commercial,Retail Trade,,469 BIG PETER CAVE ROAD,4038.15,21159950300,"POLYGON ((-82.4526851703369 37.7636755970361, -82.4527402074194 37.7636666192277, -82.4527571703069 37.7637321560676, -82.4524682325857 37.7637792927034, -82.4524314771175 37.7636372961157, -82.4526653786545 37.763599137207, -82.4526851703369 37.7636755970361))"
56,Residential,Single Family Dwelling,,11073 RIVER FRONT ROAD,2637.152,21159950300,"POLYGON ((-82.3218013493979 37.7636458591956, -82.3215430002104 37.7637334819301, -82.3214988498109 37.7636514438742, -82.3217571989984 37.7635638210425, -82.3218013493979 37.7636458591956))"
57,Residential,Manufactured Home,,9017 RIVER FRONT ROAD,1318.585,21159950300,"POLYGON ((-82.3292947972574 37.7753791970451, -82.3292506315864 37.7752971612575, -82.3293798210024 37.7752533407778, -82.3294239866733 37.775335375904, -82.3292947972574 37.7753791970451))"
58,Residential,Single Family Dwelling,,11019 RIVER FRONT ROAD,1648.224,21159950300,"POLYGON ((-82.3220526036913 37.7635014059121, -82.3220965070542 37.7636073352702, -82.3219630739969 37.763642186971, -82.3219191733289 37.7635362576627, -82.3220526036913 37.7635014059121))"
59,Residential,Single Family Dwelling,,9191 RIVER FRONT ROAD,1813.06,21159950300,"POLYGON ((-82.3262012832865 37.7753061710261, -82.3260474234379 37.7753176780235, -82.3260342442544 37.7752066552346, -82.3261881032047 37.7751951482199, -82.3262012832865 37.7753061710261))"
60,Residential,Single Family Dwelling,,237 LICK BRANCH,1054.857,21159950300,"POLYGON ((-82.4354798490912 37.7278439681208, -82.4354846739426 37.7277548399616, -82.4355968869963 37.7277586716988, -82.4355920639416 37.7278477977219, -82.4354798490912 37.7278439681208))"
61,Unclassified,Unclassified,,,1054.872,21159950201,"POLYGON ((-82.6468899420794 37.7635894137234, -82.6469460032413 37.7635121051655, -82.6470433842114 37.7635566122251, -82.6469873221511 37.7636339200263, -82.6468899420794 37.7635894137234))"
62,Residential,Unclassified,,3450 SOUTH WOLF CREEK,2307.528,21159950201,"POLYGON ((-82.4903754235899 37.763489000145, -82.4902583740067 37.7636144467911, -82.4901455042845 37.7635480739903, -82.4902625538678 37.7634226258114, -82.4903754235899 37.763489000145))"
63,Industrial,Light,,740 HONEY BRANCH INDUSTRIAL PARK,1977.864,21159950201,"POLYGON ((-82.6424528152431 37.7635352542086, -82.6423311878452 37.7635910222314, -82.642246889939 37.7634751548831, -82.6423685173368 37.7634193860628, -82.6424528152431 37.7635352542086))"
64,Unclassified,Unclassified,,,5669.897,21159950201,"POLYGON ((-82.6460692942364 37.7633017643485, -82.646046254246 37.7633661169645, -82.6461138066571 37.7633813612621, -82.6460523645866 37.7635529698226, -82.645822686928 37.7635011452837, -82.6459071689889 37.7632651811144, -82.6460692942364 37.7633017643485))"
65,Residential,Single Family Dwelling,,11019 RIVER FRONT ROAD,857.0789,21159950300,"POLYGON ((-82.3223513168795 37.7634891620612, -82.3225211586553 37.7634359079265, -82.3225417992456 37.7634773947252, -82.3223719565715 37.7635306502504, -82.3223513168795 37.7634891620612))"
66,Unclassified,Unclassified,,,857.0692,21159950201,"POLYGON ((-82.6451109310671 37.7635337373098, -82.6450700361621 37.7635031543233, -82.6451952370582 37.7633976409696, -82.6452361310649 37.7634282239998, -82.6451109310671 37.7635337373098))"
67,Unclassified,Unclassified,,9283 MEATHOUSE ROAD,659.2837,21159950300,"POLYGON ((-82.5042694846297 37.7039659978844, -82.5041387321452 37.7040065237073, -82.5041183296084 37.7039649701685, -82.504249082093 37.7039244443228, -82.5042694846297 37.7039659978844))"
68,Residential,Single Family Dwelling,,,1582.306,21159950300,"POLYGON ((-82.3677050942281 37.7806814258799, -82.3677201940097 37.7805481478299, -82.3678321429587 37.7805561366956, -82.3678170431771 37.7806894147311, -82.3677050942281 37.7806814258799))"
69,Residential,Manufactured Home,,234 FROG POND ROAD,2373.447,21159950100,"POLYGON ((-82.4509347041911 37.7923282453197, -82.4509810455817 37.7925255659976, -82.4508705330388 37.7925419109861, -82.4508241916482 37.7923445903518, -82.4509347041911 37.7923282453197))"
70,Unclassified,Unclassified,,199 CANEY FORK,988.9336,21159950300,"POLYGON ((-82.4380161362947 37.7226079558716, -82.4379244407621 37.7226923949068, -82.437860657682 37.7226486939024, -82.4379523532146 37.7225642548175, -82.4380161362947 37.7226079558716))"
71,Unclassified,Unclassified,,10842 RIVER FRONT ROAD,1450.44,21159950300,"POLYGON ((-82.3251253656808 37.7620250396816, -82.3251264948631 37.7619023763534, -82.325238865122 37.7619030290036, -82.3252377350414 37.7620256923306, -82.3251253656808 37.7620250396816))"
