,res,ind,com,rest
1627200,3628,906,13,59
1630800,3670,906,0,30
1634400,3612,994,0,0
1638000,3612,994,0,0
1641600,3612,994,0,0
1645200,3612,994,0,0
1648800,3612,994,0,0
1652400,3589,994,0,23
1656000,3580,994,0,32
1659600,3304,994,276,32
1663200,3108,943,509,46
1666800,2707,943,906,50
1670400,2343,943,1275,45
1674000,2074,943,1549,40
1677600,2017,943,1599,47
1681200,1876,943,1702,85
1684800,1878,943,1705,80
1688400,1882,943,1716,65
1692000,1997,877,1672,60
1695600,2083,877,1590,56
1699200,2234,877,1435,60
1702800,2556,877,1108,65
1706400,2981,877,666,82
1710000,3388,877,259,82
1713600,3667,877,0,62
1717200,3696,877,0,33
1720800,3645,958,0,3
1724400,3648,958,0,0
1728000,3648,958,0,0
1731600,3648,958,0,0
1735200,3648,958,0,0
1738800,3625,958,0,23
1742400,3617,958,0,31
1746000,3349,958,268,31
1749600,3151,916,494,45
1753200,2769,916,872,49
1756800,2415,916,1231,44
1760400,2129,916,1522,39
1764000,2080,916,1563,47
1767600,1936,916,1669,85
1771200,1939,916,1671,80
1774800,1946,916,1679,65
1778400,2053,858,1635,60
1782000,2139,858,1553,56
1785600,2291,858,1398,59
1789200,2616,858,1071,61
1792800,3044,858,629,75
1796400,3451,858,222,75
1800000,3693,858,0,55
1803600,3722,858,0,26
1807200,3670,936,0,0
1810800,3670,936,0,0
1814400,3670,936,0,0
1818000,3670,936,0,0
1821600,3670,936,0,0
1825200,3646,936,0,24
1828800,3640,936,0,30
1832400,3381,936,259,30
1836000,3209,877,481,39
1839600,2829,877,857,43
1843200,2505,877,1186,38
1846800,2236,877,1460,33
1850400,2188,877,1500,41
1854000,2059,877,1596,74
1857600,2063,877,1597,69
1861200,2071,877,1604,54
1864800,2174,823,1560,49
1868400,2260,823,1478,45
1872000,2412,823,1323,48
1875600,2734,823,996,53
1879200,3162,823,554,67
1882800,3569,823,147,67
1886400,3736,823,0,47
1890000,3765,823,0,18
1893600,3684,922,0,0
1897200,3684,922,0,0
1900800,3684,922,0,0
1904400,3684,922,0,0
1908000,3684,922,0,0
1911600,3662,922,0,22
1915200,3654,922,0,30
1918800,3382,922,272,30
1922400,3222,848,496,40
1926000,2860,848,856,42
1929600,2532,848,1189,37
1933200,2283,848,1443,32
1936800,2241,848,1478,39
1940400,2120,848,1574,64
1944000,2122,848,1577,59
1947600,2131,848,1583,44
1951200,2260,768,1539,39
1954800,2346,768,1457,35
1958400,2498,768,1302,38
1962000,2821,768,975,42
1965600,3250,768,533,55
1969200,3657,768,126,55
1972800,3803,768,0,35
1976400,3832,768,0,6
1980000,3726,880,0,0
1983600,3726,880,0,0
1987200,3726,880,0,0
1990800,3726,880,0,0
1994400,3726,880,0,0
1998000,3707,880,0,19
2001600,3699,880,0,27
2005200,3448,880,251,27
2008800,3309,803,458,36
2012400,2964,803,798,41
2016000,2645,803,1122,36
2019600,2383,803,1389,31
2023200,2342,803,1424,37
2026800,2237,803,1508,58
2030400,2241,803,1509,53
2034000,2249,803,1516,38
2037600,2355,746,1472,33
2041200,2441,746,1390,29
2044800,2594,746,1235,31
2048400,2918,746,908,34
2052000,3346,746,466,48
2055600,3753,746,59,48
2059200,3832,746,0,28
2062800,3860,746,0,0
2066400,3764,842,0,0
2070000,3764,842,0,0
2073600,3764,842,0,0
2077200,3764,842,0,0
2080800,3764,842,0,0
2084400,3744,842,0,20
2088000,3737,842,0,27
2091600,3488,842,249,27
2095200,3332,777,459,38
2098800,2997,777,790,42
2102400,2703,777,1089,37
2106000,2485,777,1312,32
2109600,2440,777,1351,38
2113200,2332,777,1430,67
2116800,2334,777,1433,62
2120400,2341,777,1441,47
2124000,2463,704,1397,42
2127600,2549,704,1315,38
2131200,2702,704,1160,40
2134800,3027,704,833,42
2138400,3455,704,391,56
2142000,3846,704,0,56
2145600,3866,704,0,36
2149200,3895,704,0,7
2152800,3784,822,0,0
2156400,3784,822,0,0
2160000,3784,822,0,0
2163600,3784,822,0,0
2167200,3784,822,0,0
2170800,3772,822,0,12
2174400,3764,822,0,20
2178000,3531,822,233,20
2181600,3407,739,432,28
2185200,3075,739,761,31
2188800,2780,739,1061,26
2192400,2562,739,1284,21
2196000,2518,739,1320,29
2199600,2426,739,1388,53
2203200,2430,739,1389,48
2206800,2438,739,1396,33
2210400,2563,663,1352,28
2214000,2649,663,1270,24
2217600,2803,663,1115,25
2221200,3125,663,788,30
2224800,3552,663,346,45
2228400,3898,663,0,45
2232000,3918,663,0,25
2235600,3943,663,0,0
2239200,3828,778,0,0
2242800,3828,778,0,0
2246400,3828,778,0,0
2250000,3828,778,0,0
2253600,3828,778,0,0
2257200,3809,778,0,19
2260800,3802,778,0,26
2264400,3586,778,216,26
2268000,3442,719,412,33
2271600,3135,719,717,35
2275200,2876,719,981,30
2278800,2650,719,1212,25
2282400,2614,719,1244,29
2286000,2514,719,1322,51
2289600,2517,719,1324,46
2293200,2526,719,1330,31
2296800,2657,637,1286,26
2300400,2743,637,1204,22
2304000,2896,637,1049,24
2307600,3220,637,722,27
2311200,3654,637,280,35
2314800,3934,637,0,35
2318400,3954,637,0,15
2322000,3969,637,0,0
2325600,3868,738,0,0
2329200,3868,738,0,0
2332800,3868,738,0,0
2336400,3868,738,0,0
2340000,3868,738,0,0
2343600,3852,738,0,16
2347200,3844,738,0,24
2350800,3637,738,207,24
2354400,3533,661,383,29
2358000,3246,661,667,32
2361600,3002,661,916,27
2365200,2791,661,1132,22
2368800,2761,661,1159,25
2372400,2661,661,1236,48
2376000,2665,661,1237,43
